typecode,engines,body_class,model_name
A002,1,heli,IRKUT A-002
A1,1,ga,DOUGLAS A-1 Skyraider
A10,2,narrowbody,FAIRCHILD A-10 Thunderbolt 2
A109,2,heli,AGUSTAWESTLAND AW-109 Grand
A119,1,heli,AGUSTAWESTLAND AW-119 Koala
A122,1,ga,AEROTEC A-122 Uirapuru
A124,4,quad,ANTONOV An-124 Ruslan
A129,2,heli,AGUSTAWESTLAND AW-129
A139,2,heli,AGUSTAWESTLAND AW-139
A140,2,regional,ANTONOV An-140
A148,2,narrowbody,ANTONOV An-148
A149,2,heli,AGUSTAWESTLAND AW-149
A158,2,narrowbody,ANTONOV An-158
A16,1,ga,AVIADESIGN A-16 Sport Falcon
A169,2,heli,AGUSTAWESTLAND AW-169
A178,2,narrowbody,ANTONOV An-178
A189,2,heli,AGUSTAWESTLAND AW-189
A19,1,ga,AEROPRACT A-19
A19N,2,narrowbody,AIRBUS A-319NEO
A20,2,regional,DOUGLAS A-20 Havoc
A205,1,heli,OSKBES-MAI MAI-205
A20J,1,ga,SCHLEICHER ASW-20J
A20N,2,narrowbody,AIRBUS A-320NEO
A21,1,ga,AEROPRACT A-21 Solo
A210,1,ga,AQUILA A-210
A21N,2,narrowbody,AIRBUS A-321NEO
A22,1,ga,SADLER A-22 Piranha
A223,1,ga,OSKBES-MAI MAI-223 Kityonok
A225,6,quad,ANTONOV An-225 Mriya
A23,1,ga,AEROPRACT A-23 Dragon
A249,2,heli,LEONARDO AW-249 Fenice
A25,1,ga,AEROPRACT A-25 Breeze
A251,2,regional,AVIATIK-ALYANS Aleks-251
A27,1,ga,AEROPRACT A-27
A270,1,ga,AERO Ae-270 Propjet
A29,1,ga,AVANTAGE A-29
A2RT,2,heli,KAZAN Ansat 2RT
A3,2,narrowbody,DOUGLAS A-3 Skywarrior
A306,2,widebody,AIRBUS A-300B4-600
A30B,2,widebody,AIRBUS A-300B4-200
A31,1,ga,AVANTAGE A-31 Spectrum
A310,2,widebody,AIRBUS A-310
A318,2,narrowbody,AIRBUS A-318
A319,2,narrowbody,AIRBUS A-319
A320,2,narrowbody,AIRBUS A-320
A321,2,narrowbody,AIRBUS A-321
A32E,1,ga,SCHLEICHER ASG-32EL
A32P,1,ga,SCHLEICHER ASG-32Mi
A33,1,ga,AEROPRACT A-33
A332,2,widebody,AIRBUS A-330-200
A333,2,widebody,AIRBUS A-330-300
A337,2,narrowbody,AIRBUS A-330-700 Beluga XL
A338,2,widebody,AIRBUS A-330-800
A339,2,widebody,AIRBUS A-330-900
A33E,1,ga,SCHLEICHER AS-33Me
A33P,1,ga,SCHLEICHER AS-33Es
A342,4,quad,AIRBUS A-340-200
A343,4,quad,AIRBUS A-340-300
A345,4,quad,AIRBUS A-340-500
A346,4,quad,AIRBUS A-340-600
A34E,1,ga,SCHLEICHER AS-34Me
A35,1,ga,AVANTAGE A-35 Scanner
A359,2,widebody,AIRBUS A-350-900 XWB
A35K,2,widebody,AIRBUS A-350-1000 XWB
A37,2,narrowbody,CESSNA A-37 Dragonfly
A388,4,quad,AIRBUS A-380-800
A3ST,2,widebody,AIRBUS A-300ST Beluga
A4,1,ga,MCDONNELL DOUGLAS A-4 Skyhawk
A400,4,quad,AIRBUS A-400M Atlas
A411,2,regional,OSKBES-MAI MAI-411
A5,1,ga,ICON A-5
A50,4,quad,BERIEV A-50
A500,2,regional,ADAM A-500 CarbonAero
A504,1,ga,AVRO 504 Replica
A6,2,narrowbody,GRUMMAN A-6 Intruder
A600,1,heli,ROTORWAY A-600 Talon
A660,1,ga,AYRES S-2R-T660 Turbo Thrush
A700,2,narrowbody,ADAM A-700 AdamJet
A743,2,narrowbody,ANTONOV An-74-300
A748,2,regional,HAWKER SIDDELEY HS-748 Andover
A890,1,ga,OSKBES-MAI MAI-890
A9,1,ga,AAMSA A-9 Quail
A900,1,ga,OSKBES-MAI MAI-900 Acrobat
A910,1,ga,OSKBES-MAI MAI-910 Interfly
AA1,1,ga,GRUMMAN AMERICAN AA-1 Lynx
AA37,2,regional,AEROPRACT A-37
AA5,1,ga,GRUMMAN AMERICAN AA-5 Traveler
AAT3,1,ga,AERO AT-3
AAT4,1,ga,AERO AT-4
AB11,1,ga,AERO BOERO AB-115
AB15,1,ga,AERO BOERO AB-150
AB18,1,ga,AERO BOERO AB-180
AB95,1,ga,AERO BOERO AB-95
AC10,1,heli,FD-COMPOSITES ArrowCopter
AC11,1,ga,NORTH AMERICAN ROCKWELL Commander 112
AC31,1,heli,AVICOPTER AC-311
AC33,3,heli,AVICOPTER AC-313
AC4,1,ga,LIGHT WING AC-4
AC50,2,regional,AERO (1) Commander 500
AC52,2,regional,AERO (1) Commander 520
AC56,2,regional,AERO (1) Commander 560
AC5A,1,ga,NANJING AC-500 Aircar
AC5M,1,ga,AVIASTROITEL AC-5M
AC68,2,regional,AERO (1) Commander 680 Super
AC6L,2,regional,NORTH AMERICAN ROCKWELL Commander 685
AC72,2,regional,AERO (1) Commander 720 Alti Cruiser
AC80,2,regional,AERO COMMANDER 680T Turbo Commander
AC90,2,regional,NORTH AMERICAN ROCKWELL Turbo Commander 690
AC95,2,regional,ROCKWELL Jetprop Commander 1000
ACAM,2,regional,LOCKWOOD Air Cam
ACAR,1,ga,AUSTER J-5 Autocar
ACED,1,ga,POWELL P-70 Acey Deucy
ACJR,1,ga,SPENCER Air Car Junior
ACPL,1,ga,OPTION AIR Acapella
ACR2,1,ga,ACRO SPORT Acro-Sport 2
ACRD,2,regional,AVIA (3) Accord
ACRO,1,ga,ACRO SPORT Acro-Sport 1
ACSR,1,ga,VICTA Aircruiser
AD20,1,ga,BEIJING KEYUAN AD-200
ADEL,1,heli,USTINOV Adel
ADVE,1,ga,AUSTER J-5 Adventurer
