icao,iata,name,callsign,country,active
AAA,AN,Ansett Australia,ANSETT,Australia,Y
AAB,W9,Abelag Aviation,ABG,Belgium,N
AAC,,Army Air Corps,ARMYAIR,United Kingdom,N
AAD,,Aero Aviation Centre Ltd.,SUNRISE,Canada,N
AAF,ZI,Aigle Azur,AIGLE AZUR,France,Y
AAG,KI,Air Atlantique,ATLANTIC,United Kingdom,N
AAH,AQ,Aloha Airlines,ALOHA,United States,Y
AAI,,Air Aurora,BOREALIS,United States,N
AAJ,,Air Alma,AIR ALMA,Canada,N
AAK,,Alaska Island Air,ALASKA ISLAND,United States,N
AAL,AA,American Airlines,AMERICAN,United States,Y
AAM,,Aviation Management Corporation,AM CORP,United States,N
AAN,WD,Amsterdam Airlines,AMSTEL,Netherlands,Y
AAO,,Atlantis Airlines (USA),ATLANTIS AIR,United States,N
AAP,,Aerovista Airlines,AEROVISTA GROUP,United Arab Emirates,N
AAQ,,Copterline,COPTERLINE,Finland,Y
AAR,OZ,Asiana Airlines,ASIANA,Republic of Korea,Y
AAS,4K,Askari Aviation,AL-AAS,Pakistan,Y
AAT,,Austrian Airtransport,,Austria,N
AAU,,Australia Asia Airlines,AUSTASIA,Australia,N
AAV,,Astro Air International,ASTRO-PHIL,United States,N
AAW,8U,Afriqiyah Airways,AFRIQIYAH,Libya,Y
AAX,,Afric'air Express,AFREX,Ivory Coast,N
AAY,G4,Allegiant Air,ALLEGIANT,United States,Y
AAZ,,Angus Aviation,ANGUS,Canada,N
ABA,,Artem-Avia,ARTEM-AVIA,Ukraine,N
ABB,,African Business and Transportations,AFRICAN BUSINESS-,Democratic Republic of the Congo,N
ABD,CC,Air Atlanta Icelandic,ATLANTA,Iceland,Y
ABE,K5,Aban Air,ABAN,Iran,N
ABF,,Aerial Oy,SKYWINGS,Finland,N
ABG,,Abakan-Avia,ABAKAN-AVIA,Russia,N
ABH,,Hokuriki-Koukuu Company,,Japan,N
ABI,U1,Aviabus,,Russia,Y
ABJ,,Abaet,Abaet,Brazil,N
ABK,,Alberta Citylink,ALBERTA CITYLINK,Canada,N
ABL,BX,Air Busan,Air Busan,Republic of Korea,Y
ABM,,Aero Albatros,ALBATROS ESPANA,Spain,N
ABN,,Air Fret Senegal, ,Senegal,N
ABO,,APSA Colombia,AEROEXPRESO,Colombia,N
ABP,,Aba Air,BAIR,Czech Republic,N
ABQ,ED,Airblue,PAKBLUE,Pakistan,Y
ABR,AG,Air Contractors,CONTRACT,Ireland,N
ABS,9T,Transwest Air,ATHABASKA,Canada,Y
ABT,,Air Brousse,AIR BROUSSE,Canada,N
ABU,,Aerovias Bueno,AEROBUENO,Colombia,N
ABV,04,Antrak Air,ANTRAK,Ghana,N
ABW,RU,AirBridge Cargo,AIRBRIDGE CARGO,Russia,N
ABX,GB,Airborne Express,ABEX,United States,N
ABY,G9,Air Arabia,ARABIA,United Arab Emirates,Y
ABZ,,ATA Brasil,ATA-BRAZIL,Brazil,N
ACA,AC,Air Canada,AIR CANADA,Canada,Y
ACC,,Avcard Services,,United Kingdom,N
ACD,,Academy Airlines,ACADEMY,United States,N
ACE,,Race Cargo Airlines,Fastcargo,Ghana,N
ACF,,Centro de Formacion Aeronautica de Canarias,FORCAN,Spain,N
ACG,,Air Partner,AIR PARTNER,United Kingdom,N
ACI,SB,Air Caledonie International,AIRCALIN,France,Y
ACK,DV,Nantucket Airlines,ACK AIR,United States,N
ACL,9X,Itali Airlines,ITALI,Italy,N
ACM,,Air Caledonia,WEST CAL,Canada,N
ACN,,Central American Airlines,AEROCENTRO,Nicaragua,N
ACO,,Aero Comondu,AERO COMONDU,Mexico,N
ACP,8V,Astral Aviation,ASTRAL CARGO,Kenya,Y
ACQ,N6,Nuevo Continente,AERO CONTINENTE,Peru,N
ACR,,Aerocenter, Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,N
ACS,,Air Cess,,Liberia,N
ACU,,Air Cargo Transportation System,AFRISPIRIT,Kenya,N
ACV,,Air Charter Service,,United Kingdom,N
ACW,,Royal Air Force,AIR CADET,United Kingdom,N
ACX,,Air Charters,PARAIR,Canada,N
ACY,,Atlas Cargo Lines,ATLAS CARGOLINES,Morocco,N
ADA,,Airservices Australia,AUSCAL,Australia,N
ADB,,Antonov Airlines,ANTONOV BUREAU,Ukraine,N
ADC,,Air Atlantic Dominicana,ATLAN-DOMINICAN,Dominican Republic,N
ADD,,Advanced Air Co.,,Japan,N
ADE,ZY,Ada Air,ADA AIR,Albania,Y
ADG,,Aerea Flying Training Organization,AEREA TRAINING,Spain,N
ADH,AP,Air One,HERON,Italy,Y
ADI,,Audeli Air,AUDELI,Spain,N
ADJ,,Abicar,ABICAR,Ivory Coast,N
ADK,Z7,ADC Airlines,ADCO,Nigeria,N
ADL,,Aero Dynamics,COTSWOLD,United Kingdom,N
ADM,,Aerolineas Dominicanas,DOMINAIR,Dominican Republic,N
ADN,,Aerodienst GmbH,AERODIENST,Germany,N
ADO,HD,Hokkaido International Airlines,AIR DO,Japan,Y
ADP,,Aerodiplomatic,AERODIPLOMATIC,Mexico,N
ADQ,,Avion Taxi,AIR DATA,Canada,N
ADR,JP,Adria Airways,ADRIA,Slovenia,Y
ADS,,Aviones de Sonora,SONORAV,Mexico,N
ADT,,Air Dorval,AIR DORVAL,Canada,N
ADU,,Airdeal Oy,AIRDEAL,Finland,N
ADV,,Advance Air Charters,ADVANCE,Canada,N
ADW,,Air Andaman,AIR ANDAMAN,Thailand,N
ADX,,Anderson Aviation,ANDAX,United States,N
ADY,,Aerodyne,AERODYNE,United States,N
AEA,UX,Air Europa,EUROPA,Spain,Y
AEB,EM,Aero Benin,AEROBEN,Benin,Y
AEC,,Aerocesar, Aerovias Del Cesar,AEROCESAR,N
AED,,Aerotrans Airlines,,Russia,N
AEE,A3,Aegean Airlines,AEGEAN,Greece,Y
AEF,YP,Aero Lloyd (YP),,Germany,N
