icao,iata,name,city,country,lat,lon,airport_type,scheduled_service,runway_length_ft
AAXX,,Aeródromo de Punto Rothera,Rothera Point,Antarctica,-67.566941,-68.126993,small_airport,false,0
AGAF,AFT,Afutara Aerodrome,Bila,Solomon Islands,-9.191389,160.948611,small_airport,false,1501
AGAR,RNA,Ulawa Airport,Arona,Solomon Islands,-9.86054358262,161.979546547,small_airport,false,2822
AGAT,ATD,Uru Harbour Airport,Atoifi,Solomon Islands,-8.87333,161.011002,small_airport,false,2769
AGBA,VEV,Barakoma Airport,Barakoma,Solomon Islands,-7.912779808044434,156.70599365234375,small_airport,false,0
AGBT,BPF,Batuna Aerodrome,Batuna Mission Station,Solomon Islands,-8.56202777778,158.119305556,small_airport,false,2028
AGEV,GEF,Geva Airport,Liangia,Solomon Islands,-7.575829982757568,156.5970001220703,small_airport,false,2297
AGGA,AKS,Gwaunaru'u Airport,Auki,Solomon Islands,-8.70257,160.682007,small_airport,true,3100
AGGB,BNY,Bellona/Anua Airport,Anua,Solomon Islands,-11.302222222200001,159.798333333,small_airport,true,2187
AGGC,CHY,Choiseul Bay Airport,Choiseul Bay,Solomon Islands,-6.711944,156.396111,small_airport,true,2164
AGGE,BAS,Ballalae Airport,Ballalae,Solomon Islands,-6.990745,155.886656,small_airport,true,5413
AGGF,FRE,Fera/Maringe Airport,Fera Island,Solomon Islands,-8.1075,159.576996,small_airport,true,1854
AGGH,HIR,Honiara International Airport,Honiara,Solomon Islands,-9.428,160.054993,large_airport,true,7218
AGGI,MBU,Babanakira Airport,Mbambanakira,Solomon Islands,-9.7475,159.839005,small_airport,false,1953
AGGJ,AVU,Avu Avu Airport,Avu Avu,Solomon Islands,-9.868333,160.410556,small_airport,false,2461
AGGK,IRA,Ngorangora Airport,Kirakira,Solomon Islands,-10.449700355500001,161.897994995,small_airport,true,4377
AGGL,SCZ,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,Solomon Islands,-10.7203,165.794998,small_airport,true,2999
AGGM,MUA,Munda Airport,Munda,Solomon Islands,-8.32797,157.263,medium_airport,true,4593
AGGN,GZO,Nusatupe Airport,Gizo,Solomon Islands,-8.09778022766,156.863998413,small_airport,true,2871
AGGO,MNY,Mono Airport,Stirling Island,Solomon Islands,-7.41694,155.565002,small_airport,true,3281
AGGP,PRS,Parasi Airport,Parasi,Solomon Islands,-9.641670227050781,161.4250030517578,small_airport,false,2156
